"
												1 Bed
														–
2 Beds										","
												1 Bed
														–
3 Beds										","
												2 Beds
														–
4 Beds										","
												Studio
										","
												Studio
														–
2 Beds										","
2 																–
4 Beds												","
2 																–
6 Beds												","
Studio												",1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,Bedroom_Info,City_Rent,Full_Address,Property_Name_Rent,Rent_link,State_Rent,Studio,Type,Zip_code
,,,,,,,,"$2,550","$3,420",,,,"[{'bedroom_type': 'Studio', 'price': '$2,320'}, {'bedroom_type': '1 Bed', 'price': '$2,550'}, {'bedroom_type': '2 Beds', 'price': '$3,420'}]",San Bruno,"2000 Crystal Springs Rd, San Bruno, CA 94066",Crystal Springs Terrace,https://www.apartments.com/crystal-springs-terrace-san-bruno-ca/6m9hdtr/,CA,"$2,320",Apartment,94066
,,,,,,,,"$1,595","$1,875",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,595'}, {'bedroom_type': '2 Beds', 'price': '$1,875'}]",Chula Vista,"601-645 Sea Vale St, Chula Vista, CA 91910",Windsong Apartments,https://www.apartments.com/windsong-apartments-chula-vista-ca/d6s1bll/,CA,,Apartment,91910
,,,,,,,,"$2,250","$2,550",,,,"[{'bedroom_type': 'Studio', 'price': '$1,875'}, {'bedroom_type': '1 Bed', 'price': '$2,250'}, {'bedroom_type': '2 Beds', 'price': '$2,550'}]",Thousand Oaks,"256-268 Erbes Rd, Thousand Oaks, CA 91362",Park View Apartment Homes,https://www.apartments.com/park-view-apartment-homes-thousand-oaks-ca/s18f6b4/,CA,"$1,875",Apartment,91362
,,,,,,,,"$1,628",$655,$706,,$633,"[{'bedroom_type': 'Studio', 'price': '$1,356'}, {'bedroom_type': '1 Bed', 'price': '$1,628'}, {'bedroom_type': '2 Beds', 'price': '$655'}, {'bedroom_type': '3 Beds', 'price': '$706'}, {'bedroom_type': '4+ Beds', 'price': '$633'}]",Chico,"1200 Nord Ave, Chico, CA 95926",The Post on Nord,https://www.apartments.com/the-post-on-nord-chico-ca/6wx5v8r/,CA,"$1,356",Apartment,95926
,,,,,,,,"$1,995","$2,595","$4,245",,,"[{'bedroom_type': 'Studio', 'price': '$1,875'}, {'bedroom_type': '1 Bed', 'price': '$1,995'}, {'bedroom_type': '2 Beds', 'price': '$2,595'}, {'bedroom_type': '3 Beds', 'price': '$4,245'}]",Daly City,"333 Park Plaza Dr, Daly City, CA 94015",Westlake Village Apartments,https://www.apartments.com/westlake-village-apartments-daly-city-ca/d23sjpl/,CA,"$1,875",Apartment,94015
,,,,,,,,"$1,395","$1,640","$1,885",,,"[{'bedroom_type': '1 Bed', 'price': '$1,395'}, {'bedroom_type': '2 Beds', 'price': '$1,640'}, {'bedroom_type': '3 Beds', 'price': '$1,885'}]",Temecula,"29911 Mira Loma Dr, Temecula, CA 92592",Mira Loma Apartments,https://www.apartments.com/mira-loma-apartments-temecula-ca/wpg0t7l/,CA,,Apartment,92592
,,,,,,,,"$1,820","$2,006",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,820'}, {'bedroom_type': '2 Beds', 'price': '$2,006'}]",Richmond,"3400 Richmond Pky, Richmond, CA 94806",BELLA VISTA AT HILLTOP,https://www.apartments.com/bella-vista-at-hilltop-richmond-ca/m449jlj/,CA,,Apartment,94806
,,,,,,,,"$1,340","$1,769","$2,256",,,"[{'bedroom_type': '1 Bed', 'price': '$1,340'}, {'bedroom_type': '2 Beds', 'price': '$1,769'}, {'bedroom_type': '3 Beds', 'price': '$2,256'}]",Sacramento,"4850 Natomas Blvd, Sacramento, CA 95835",Miramonte & Trovas,https://www.apartments.com/miramonte-trovas-sacramento-ca/ny5803q/,CA,,Apartment,95835
,,,,,,,,"$2,400","$2,800","$3,400",,,"[{'bedroom_type': '1 Bed', 'price': '$2,400'}, {'bedroom_type': '2 Beds', 'price': '$2,800'}, {'bedroom_type': '3 Beds', 'price': '$3,400'}]",Santa Rosa,"4440 Old Redwood Hwy, Santa Rosa, CA 95403",Sonoma Ranch Apartment Homes,https://www.apartments.com/sonoma-ranch-apartment-homes-santa-rosa-ca/2fh16vc/,CA,,Apartment,95403
,,,,,,,,,"$2,275",,,,"[{'bedroom_type': '2 Beds', 'price': '$2,275'}]",Norwalk,"11615 E Firestone Blvd, Norwalk, CA 90650",Norwalk MetroPointe,https://www.apartments.com/norwalk-metropointe-norwalk-ca/zzffl6z/,CA,,Apartment,90650
,,,,,,,,"$1,188","$1,441",,,,"[{'bedroom_type': 'Studio', 'price': '$1,027'}, {'bedroom_type': '1 Bed', 'price': '$1,188'}, {'bedroom_type': '2 Beds', 'price': '$1,441'}]",Stockton,"1633 E Bianchi Rd, Stockton, CA 95210",Torcello,https://www.apartments.com/torcello-stockton-ca/3932fxf/,CA,"$1,027",Apartment,95210
,,,,,,,,,,,,,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n3 Beds\t\t\t\t\t\t\t\t\t\t', 'price': ''}]",San Bernardino,"1422 E 9th St, San Bernardino, CA 92410",Ascot Park Apartments,https://www.apartments.com/ascot-park-apartments-san-bernardino-ca/z4tmzdz/,CA,,Apartment,92410
,,,,,,,,,"$2,750",,,,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]",Torrance,"17575 Yukon Ave, Torrance, CA 90504",Palm View Village,https://www.apartments.com/palm-view-village-torrance-ca/tt4kpfc/,CA,,Apartment,90504
,,,,,,,,"$1,998","$2,450","$2,995",,,"[{'bedroom_type': '1 Bed', 'price': '$1,998'}, {'bedroom_type': '2 Beds', 'price': '$2,450'}, {'bedroom_type': '3 Beds', 'price': '$2,995'}]",Gardena,"1030 Magnolia Ave, Gardena, CA 90247",Palm View Village Gardena,https://www.apartments.com/palm-view-village-gardena-gardena-ca/mex62jk/,CA,,Apartment,90247
,,,,,,,,"$1,645","$1,930",,,,"[{'bedroom_type': 'Studio', 'price': '$1,495'}, {'bedroom_type': '1 Bed', 'price': '$1,645'}, {'bedroom_type': '2 Beds', 'price': '$1,930'}]",Vista,"2144 University Dr, Vista, CA 92083",Pepperwood Apartments,https://www.apartments.com/pepperwood-apartments-vista-ca/xhlrnfp/,CA,"$1,495",Apartment,92083
,,,,,,,,,"$1,840","$2,285",,,"[{'bedroom_type': '2 Beds', 'price': '$1,840'}, {'bedroom_type': '3 Beds', 'price': '$2,285'}]",Santee,"9700 Magnolia Park Dr, Santee, CA 92071",The Arbors Apartments,https://www.apartments.com/the-arbors-apartments-santee-ca/7dqmfgz/,CA,,Apartment,92071
,,,,,,,,"$1,845","$2,095","$2,695",,,"[{'bedroom_type': '1 Bed', 'price': '$1,845'}, {'bedroom_type': '2 Beds', 'price': '$2,095'}, {'bedroom_type': '3 Beds', 'price': '$2,695'}]",Tracy,"3600 W Grant Line Rd, Tracy, CA 95304",Gateway Station Apartments,https://www.apartments.com/gateway-station-apartments-tracy-ca/hc3n831/,CA,,Apartment,95304
,,,,,,,,"$1,668","$1,988",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,668'}, {'bedroom_type': '2 Beds', 'price': '$1,988'}]",El Cajon,"12367 Calle Albara, El Cajon, CA 92019",Rancho Hillside,https://www.apartments.com/rancho-hillside-el-cajon-ca/9cb22x7/,CA,,Apartment,92019
,,,,,,,,"$1,295","$1,442",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,295'}, {'bedroom_type': '2 Beds', 'price': '$1,442'}]",Citrus Heights,"6413 Tupelo Dr, Citrus Heights, CA 95621",The Woods,https://www.apartments.com/the-woods-citrus-heights-ca/4lz1cgk/,CA,,Apartment,95621
,,,,,,,,"$1,995","$2,500",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}, {'bedroom_type': '2 Beds', 'price': '$2,500'}]",Petaluma,"1113 Baywood Dr, Petaluma, CA 94954",Altura,https://www.apartments.com/altura-petaluma-ca/7nd9c9w/,CA,,Apartment,94954
,,,,,,,,"$1,907","$2,400",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,907'}, {'bedroom_type': '2 Beds', 'price': '$2,400'}]",Sacramento,"1520 16th St, Sacramento, CA 95814",Legado de Ravel,https://www.apartments.com/legado-de-ravel-sacramento-ca/69ts5jv/,CA,,Apartment,95814
,,,,,,,,,$925,,$749,,"[{'bedroom_type': '2 Beds', 'price': '$925'}, {'bedroom_type': '4 Beds', 'price': '$749'}]",Chico,"1221 N Cedar St, Chico, CA 95926",Cedar Flats,https://www.apartments.com/cedar-flats-chico-ca/r1t76c3/,CA,,Apartment,95926
,,,,,,,,"$1,500","$1,650",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,500'}, {'bedroom_type': '2 Beds', 'price': '$1,650'}]",Vallejo,"300 Hilary Way, Vallejo, CA 94591",Fountain Plaza Hills,https://www.apartments.com/fountain-plaza-hills-vallejo-ca/6b443es/,CA,,Apartment,94591
,,,,,,,,"$1,190","$1,330",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,190'}, {'bedroom_type': '2 Beds', 'price': '$1,330'}]",Sacramento,"3435 Routier Rd, Sacramento, CA 95827",Quail Pointe Apartments,https://www.apartments.com/quail-pointe-apartments-sacramento-ca/zqy1x5z/,CA,,Apartment,95827
,,,,,,,,"$1,925","$2,495","$3,850",,,"[{'bedroom_type': '1 Bed', 'price': '$1,925'}, {'bedroom_type': '2 Beds', 'price': '$2,495'}, {'bedroom_type': '3 Beds', 'price': '$3,850'}]",Riverside,"17050 Arnold Dr, Riverside, CA 92518",Senior Living at Westmont Village 55+,https://www.apartments.com/senior-living-at-westmont-village-55-riverside-ca/3dpq2pd/,CA,,Apartment,92518
,,,,,,,,"$1,295","$1,470","$1,870",,,"[{'bedroom_type': '1 Bed', 'price': '$1,295'}, {'bedroom_type': '2 Beds', 'price': '$1,470'}, {'bedroom_type': '3 Beds', 'price': '$1,870'}]",Lake Elsinore,"15120-15150 Grand Ave, Lake Elsinore, CA 92530",Shoreline Apartments,https://www.apartments.com/shoreline-apartments-lake-elsinore-ca/8vvjy90/,CA,,Apartment,92530
,,,,,,,,"$1,795","$2,095",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,795'}, {'bedroom_type': '2 Beds', 'price': '$2,095'}]",Anaheim,"2900 E Lincoln Ave, Anaheim, CA 92806",Le Med Apartment Homes,https://www.apartments.com/le-med-apartment-homes-anaheim-ca/zrd8qhw/,CA,,Apartment,92806
,,,,,,,,"$1,885","$2,148",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,885'}, {'bedroom_type': '2 Beds', 'price': '$2,148'}]",Vista,"2000 S Melrose Dr, Vista, CA 92081",Shadowridge Park Apartment Homes,https://www.apartments.com/shadowridge-park-apartment-homes-vista-ca/vc4kzle/,CA,,Apartment,92081
,,,,,,,,"$1,035",,,,,"[{'bedroom_type': '1 Bed', 'price': '$1,035'}]",Sacramento,"2927 Marconi Ave, Sacramento, CA 95821",SUR Apartments,https://www.apartments.com/sur-apartments-sacramento-ca/r2e8742/,CA,,Apartment,95821
,,,,,,,,"$1,820","$2,225",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,820'}, {'bedroom_type': '2 Beds', 'price': '$2,225'}]",Martinez,"620 Center Ave, Martinez, CA 94553",MUIRWOOD GARDENS,https://www.apartments.com/muirwood-gardens-martinez-ca/6nvj5hr/,CA,,Apartment,94553
,,,,,,,,"$1,515","$1,895","$2,065",,,"[{'bedroom_type': '1 Bed', 'price': '$1,515'}, {'bedroom_type': '2 Beds', 'price': '$1,895'}, {'bedroom_type': '3 Beds', 'price': '$2,065'}]",Ripon,"1641 N Ripon Rd, Ripon, CA 95366",Luxe Ripon,https://www.apartments.com/luxe-ripon-ripon-ca/bhl4wj9/,CA,,Apartment,95366
,,,,,,,,"$1,600","$1,740","$2,240",,,"[{'bedroom_type': '1 Bed', 'price': '$1,600'}, {'bedroom_type': '2 Beds', 'price': '$1,740'}, {'bedroom_type': '3 Beds', 'price': '$2,240'}]",Tracy,"400 W Central Ave, Tracy, CA 95376",Sycamore Village,https://www.apartments.com/sycamore-village-tracy-ca/d8j19kl/,CA,,Apartment,95376
,,,,,,,,"$1,455","$1,745","$2,100",,,"[{'bedroom_type': '1 Bed', 'price': '$1,455'}, {'bedroom_type': '2 Beds', 'price': '$1,745'}, {'bedroom_type': '3 Beds', 'price': '$2,100'}]",Moreno Valley,"12963 Moreno Beach Dr, Moreno Valley, CA 92555",The Overlook at Rancho Belago,https://www.apartments.com/the-overlook-at-rancho-belago-moreno-valley-ca/k9n0ryb/,CA,,Apartment,92555
,,,,,,,,"$1,425","$1,705",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,425'}, {'bedroom_type': '2 Beds', 'price': '$1,705'}]",Menifee,"30951 Hanover Ln, Menifee, CA 92584",Cantabria Apartments,https://www.apartments.com/cantabria-apartments-menifee-ca/y5lre5v/,CA,,Apartment,92584
,,,,,,,,"$1,875","$2,080",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,875'}, {'bedroom_type': '2 Beds', 'price': '$2,080'}]",San Diego,"3820-3860 Pendiente Ct, San Diego, CA 92124",El Dorado Hills,https://www.apartments.com/el-dorado-hills-san-diego-ca/w8vnxkj/,CA,,Apartment,92124
,,,,,,,,,"$2,085","$2,350",,,"[{'bedroom_type': '2 Beds', 'price': '$2,085'}, {'bedroom_type': '3 Beds', 'price': '$2,350'}]",Upland,"1501 Golf Club Dr, Upland, CA 91784",Country Club Villas/Country Club Terrace,https://www.apartments.com/country-club-villas-country-club-terrace-upland-ca/v165vpe/,CA,,Apartment,91784
,,,,,,,,"$1,745","$2,230",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,745'}, {'bedroom_type': '2 Beds', 'price': '$2,230'}]",Huntington Beach,"21661 Brookhurst St, Huntington Beach, CA 92646",Casa Del Sol,https://www.apartments.com/casa-del-sol-huntington-beach-ca/v0hw7ve/,CA,,Apartment,92646
,,,,,,,,"$1,420","$1,727",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,420'}, {'bedroom_type': '2 Beds', 'price': '$1,727'}]",Winchester,"34875 Pourroy Rd, Winchester, CA 92596",Dakota Apartments,https://www.apartments.com/dakota-apartments-winchester-ca/lkt29td/,CA,,Apartment,92596
,,,,,,,,"$1,455","$1,655","$1,925",,,"[{'bedroom_type': '1 Bed', 'price': '$1,455'}, {'bedroom_type': '2 Beds', 'price': '$1,655'}, {'bedroom_type': '3 Beds', 'price': '$1,925'}]",Menifee,"30300 Antelope Rd, Menifee, CA 92584",The Enclave at Menifee,https://www.apartments.com/the-enclave-at-menifee-menifee-ca/7lkcchy/,CA,,Apartment,92584
,,,,,,,,"$1,395","$1,545","$1,995",,,"[{'bedroom_type': '1 Bed', 'price': '$1,395'}, {'bedroom_type': '2 Beds', 'price': '$1,545'}, {'bedroom_type': '3 Beds', 'price': '$1,995'}]",Temecula,"30000 Rancho California Rd, Temecula, CA 92591",Portofino Apartments,https://www.apartments.com/portofino-apartments-temecula-ca/0yfzfd0/,CA,,Apartment,92591
,,,,,,,,"$1,050","$1,130",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,050'}, {'bedroom_type': '2 Beds', 'price': '$1,130'}]",Hemet,"555 E Fruitvale Ave, Hemet, CA 92543",Vista Gardens Apartments,https://www.apartments.com/vista-gardens-apartments-hemet-ca/hh7p150/,CA,,Apartment,92543
,,,,,,,,"$1,665","$1,965",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,665'}, {'bedroom_type': '2 Beds', 'price': '$1,965'}]",La Palma,"5600 Orangethorpe Ave, La Palma, CA 90623",Brookside,https://www.apartments.com/brookside-la-palma-ca/w33ykyj/,CA,,Apartment,90623
,,,,,,,,,"$1,710","$1,955",,,"[{'bedroom_type': '2 Beds', 'price': '$1,710'}, {'bedroom_type': '3 Beds', 'price': '$1,955'}]",El Cajon,"800 E Lexington Ave, El Cajon, CA 92020",Lexington Park,https://www.apartments.com/lexington-park-el-cajon-ca/2jmp15c/,CA,,Apartment,92020
,,,,,,,,,"$3,890","$4,590",,,"[{'bedroom_type': '2 Beds', 'price': '$3,890'}, {'bedroom_type': '3 Beds', 'price': '$4,590'}]",Los Angeles,"Los Angeles, CA 90048",415 S Le Doux Rd,https://www.apartments.com/415-s-le-doux-rd-los-angeles-ca/xthw2qm/,CA,,Apartment,90048
,,,,,,,,,"$2,075",,,,"[{'bedroom_type': '2 Beds', 'price': '$2,075'}]",Antioch,"3001 Kodiak St, Antioch, CA 94531",Hillcrest View,https://www.apartments.com/hillcrest-view-antioch-ca/kdzmhh8/,CA,,Apartment,94531
,,,,,,,,,"$1,350","$1,450",,,"[{'bedroom_type': '2 Beds', 'price': '$1,350'}, {'bedroom_type': '3 Beds', 'price': '$1,450'}]",Bakersfield,"600 Hosking Ave, Bakersfield, CA 93307",Golden Valley Luxury Apartments,https://www.apartments.com/golden-valley-luxury-apartments-bakersfield-ca/ld2weze/,CA,,Apartment,93307
,,,,,,,,"$1,445","$1,745",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,445'}, {'bedroom_type': '2 Beds', 'price': '$1,745'}]",Paramount,"8635 Somerset Blvd, Paramount, CA 90723",Somerset Village,https://www.apartments.com/somerset-village-paramount-ca/lsj5ldg/,CA,,Apartment,90723
,,,,,,,,,,,,,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n2 Beds\t\t\t\t\t\t\t\t\t\t', 'price': ''}]",Larkspur,"700 Lincoln Village Cir, Larkspur, CA 94939",Serenity at Larkspur,https://www.apartments.com/serenity-at-larkspur-larkspur-ca/55bw8qq/,CA,,Apartment,94939
,,,,,,,,"$1,610","$1,860",,,,"[{'bedroom_type': 'Studio', 'price': '$1,255'}, {'bedroom_type': '1 Bed', 'price': '$1,610'}, {'bedroom_type': '2 Beds', 'price': '$1,860'}]",La Habra,"841 W La Habra Blvd, La Habra, CA 90631",La Habra Hill Apartments,https://www.apartments.com/la-habra-hill-apartments-la-habra-ca/mnysd5j/,CA,"$1,255",Apartment,90631
,,,,,,,,"$2,295","$2,810",,,,"[{'bedroom_type': '1 Bed', 'price': '$2,295'}, {'bedroom_type': '2 Beds', 'price': '$2,810'}]",Pasadena,"1769 E Walnut St, Pasadena, CA 91106",Luxe,https://www.apartments.com/luxe-pasadena-ca/52c8xyq/,CA,,Apartment,91106
,,,,,,,,"$2,599","$3,449",,,,"[{'bedroom_type': 'Studio', 'price': '$2,349'}, {'bedroom_type': '1 Bed', 'price': '$2,599'}, {'bedroom_type': '2 Beds', 'price': '$3,449'}]",San Francisco,"515 John Muir Dr, San Francisco, CA 94132",Lakewood Apartments at Lake Merced,https://www.apartments.com/lakewood-apartments-at-lake-merced-san-francisco-ca/wzzsn3h/,CA,"$2,349",Apartment,94132
,,,,,,,,"$1,560","$1,960",,,,"[{'bedroom_type': 'Studio', 'price': '$1,255'}, {'bedroom_type': '1 Bed', 'price': '$1,560'}, {'bedroom_type': '2 Beds', 'price': '$1,960'}]",Anaheim,"1000 E La Palma Ave, Anaheim, CA 92805",Parkside La Palma Apartments,https://www.apartments.com/parkside-la-palma-apartments-anaheim-ca/032qdp3/,CA,"$1,255",Apartment,92805
,,,,,,,,"$1,695","$1,905",,,,"[{'bedroom_type': '1 Bed', 'price': '$1,695'}, {'bedroom_type': '2 Beds', 'price': '$1,905'}]",Pittsburg,"1128-1128 E Leland Rd, Pittsburg, CA 94565",Mosaic Apartments,https://www.apartments.com/mosaic-apartments-pittsburg-ca/0n15ef2/,CA,,Apartment,94565
,,,,,,,,,"$2,698",,,,"[{'bedroom_type': '2 Beds', 'price': '$2,698'}]",San Diego,"4655 Governor Dr, San Diego, CA 92122",Avia 2 Senior 55+ Community,https://www.apartments.com/avia-2-senior-55-community-san-diego-ca/mq7zbzl/,CA,,Apartment,92122
,,,,,,,,,"$2,575","$3,525",,,"[{'bedroom_type': '2 Beds', 'price': '$2,575'}, {'bedroom_type': '3 Beds', 'price': '$3,525'}]",Torrance,"1311 W Sepulveda Blvd, Torrance, CA 90501",Seacrest Homes Apartments,https://www.apartments.com/seacrest-homes-apartments-torrance-ca/l5ebktg/,CA,,Apartment,90501
,,,,,,,,"$1,770","$2,070","$2,345",,,"[{'bedroom_type': '1 Bed', 'price': '$1,770'}, {'bedroom_type': '2 Beds', 'price': '$2,070'}, {'bedroom_type': '3 Beds', 'price': '$2,345'}]",El Cajon,"1451 Brabham St, El Cajon, CA 92019",Villa Toscana,https://www.apartments.com/villa-toscana-el-cajon-ca/km4lg7c/,CA,,Apartment,92019
,,,,,,,,,$960,"$1,250",,,"[{'bedroom_type': '2 Beds', 'price': '$960'}, {'bedroom_type': '3 Beds', 'price': '$1,250'}]",Victorville,"13520 3rd Ave, Victorville, CA 92395",Andalusia Luxury Apartments - WAITLIST,https://www.apartments.com/andalusia-luxury-apartments-waitlist-victorville-ca/nbgqe9n/,CA,,Apartment,92395
