Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
												Studio
														–
2 Beds										","
												1 Bed
														–
3 Beds										","
												3 Beds
										"
Ocean Breeze Villas,Huntington Beach,Apartment,CA,92647,"[{'bedroom_type': '1 Bed', 'price': '$1,999'}, {'bedroom_type': '2 Beds', 'price': '$1,945'}, {'bedroom_type': '3 Beds', 'price': '$2,619'}]","6401 Warner Ave, Huntington Beach, CA 92647",https://www.apartments.com/ocean-breeze-villas-huntington-beach-ca/c1x1zeg/,,"$1,999","$1,945","$2,619",,,,
The Cascades,Anaheim,Apartment,CA,92808,"[{'bedroom_type': '1 Bed', 'price': '$2,060'}, {'bedroom_type': '2 Beds', 'price': '$2,234'}]","8604 E Whitewater Dr, Anaheim, CA 92808",https://www.apartments.com/the-cascades-anaheim-ca/2gyyxgb/,,"$2,060","$2,234",,,,,
Westcreek Apartments,Westlake Village,Apartment,CA,91362,"[{'bedroom_type': '1 Bed', 'price': '$2,291'}, {'bedroom_type': '2 Beds', 'price': '$2,675'}]","973-986 Westcreek Ln, Westlake Village, CA 91362",https://www.apartments.com/westcreek-apartments-westlake-village-ca/f7hz5nr/,,"$2,291","$2,675",,,,,
Solterra at Civic Center,Norwalk,Apartment,CA,90650,"[{'bedroom_type': '1 Bed', 'price': '$1,850'}, {'bedroom_type': '2 Beds', 'price': '$2,335'}]","12700 Bloomfield Ave, Norwalk, CA 90650",https://www.apartments.com/solterra-at-civic-center-norwalk-ca/p0g72qt/,,"$1,850","$2,335",,,,,
Davenport,Sacramento,Apartment,CA,95831,"[{'bedroom_type': 'Studio', 'price': '$1,225'}, {'bedroom_type': '1 Bed', 'price': '$1,269'}, {'bedroom_type': '2 Beds', 'price': '$1,466'}, {'bedroom_type': '3 Beds', 'price': '$1,757'}]","941 43rd Ave, Sacramento, CA 95831",https://www.apartments.com/davenport-sacramento-ca/ppzz9pr/,"$1,225","$1,269","$1,466","$1,757",,,,
The Legends At Willow Creek,Folsom,Apartment,CA,95630,"[{'bedroom_type': '1 Bed', 'price': '$1,540'}, {'bedroom_type': '2 Beds', 'price': '$1,810'}]","180 S Lexington Dr, Folsom, CA 95630",https://www.apartments.com/the-legends-at-willow-creek-folsom-ca/5943frp/,,"$1,540","$1,810",,,,,
"THE MARC, PALO ALTO",Palo Alto,Apartment,CA,94301,"[{'bedroom_type': '1 Bed', 'price': '$2,995'}, {'bedroom_type': '2 Beds', 'price': '$4,750'}, {'bedroom_type': '3 Beds', 'price': ''}]","501 Forest Ave, Palo Alto, CA 94301",https://www.apartments.com/the-marc-palo-alto-palo-alto-ca/mwmch1j/,,"$2,995","$4,750",,,,,
VEDA,Sherman Oaks,Apartment,CA,91403,"[{'bedroom_type': '1 Bed', 'price': '$2,199'}, {'bedroom_type': '2 Beds', 'price': '$2,499'}]","4735 Sepulveda Blvd, Sherman Oaks, CA 91403",https://www.apartments.com/veda-sherman-oaks-ca/bt4sxfc/,,"$2,199","$2,499",,,,,
Harrison,Glendale,Apartment,CA,91203,"[{'bedroom_type': 'Studio', 'price': '$1,992'}, {'bedroom_type': '1 Bed', 'price': '$2,482'}, {'bedroom_type': '2 Beds', 'price': '$3,271'}]","318 W Wilson Ave, Glendale, CA 91203",https://www.apartments.com/harrison-glendale-ca/bwf9tt8/,"$1,992","$2,482","$3,271",,,,,
Prado,San Diego,Apartment,CA,92108,"[{'bedroom_type': '1 Bed', 'price': '$1,695'}, {'bedroom_type': '2 Beds', 'price': '$1,975'}]","6304 Rancho Mission Rd, San Diego, CA 92108",https://www.apartments.com/prado-san-diego-ca/sl9rze5/,,"$1,695","$1,975",,,,,
The Verandas Apartments,West Covina,Apartment,CA,91791,"[{'bedroom_type': '1 Bed', 'price': '$1,757'}, {'bedroom_type': '2 Beds', 'price': '$2,119'}, {'bedroom_type': '3 Beds', 'price': '$2,465'}]","200 N Grand Ave, West Covina, CA 91791",https://www.apartments.com/the-verandas-apartments-west-covina-ca/8w3hm12/,,"$1,757","$2,119","$2,465",,,,
KIRKER CREEK,Pittsburg,Apartment,CA,94565,"[{'bedroom_type': '1 Bed', 'price': '$1,781'}, {'bedroom_type': '2 Beds', 'price': '$2,160'}]","1000 Pheasant Dr, Pittsburg, CA 94565",https://www.apartments.com/kirker-creek-pittsburg-ca/5zh5fjm/,,"$1,781","$2,160",,,,,
Folsom Ranch,Folsom,Apartment,CA,95630,"[{'bedroom_type': '1 Bed', 'price': '$1,550'}, {'bedroom_type': '2 Beds', 'price': '$1,909'}]","1000 Folsom Ranch Dr, Folsom, CA 95630",https://www.apartments.com/folsom-ranch-folsom-ca/v3z4l1d/,,"$1,550","$1,909",,,,,
Larkspur Woods,Sacramento,Apartment,CA,95833,"[{'bedroom_type': '1 Bed', 'price': '$1,647'}, {'bedroom_type': '2 Beds', 'price': '$2,061'}, {'bedroom_type': '3 Beds', 'price': '$2,405'}]","2900 Weald Way, Sacramento, CA 95833",https://www.apartments.com/larkspur-woods-sacramento-ca/tkzr4h8/,,"$1,647","$2,061","$2,405",,,,
COPPER CREEK,Sacramento,Apartment,CA,95841,"[{'bedroom_type': '1 Bed', 'price': '$1,225'}, {'bedroom_type': '2 Beds', 'price': '$1,485'}]","6430 Verner Ave, Sacramento, CA 95841",https://www.apartments.com/copper-creek-sacramento-ca/txjbzwc/,,"$1,225","$1,485",,,,,
Bella Vista,Mission Viejo,Apartment,CA,92691,"[{'bedroom_type': '1 Bed', 'price': '$1,745'}, {'bedroom_type': '2 Beds', 'price': '$2,160'}]","27550 Hillcrest, Mission Viejo, CA 92691",https://www.apartments.com/bella-vista-mission-viejo-ca/0h72de0/,,"$1,745","$2,160",,,,,
Sycamore Canyon Apartments,Anaheim Hills,Apartment,CA,92808,"[{'bedroom_type': '1 Bed', 'price': '$1,735'}, {'bedroom_type': '2 Beds', 'price': '$2,415'}]","8201 E Blackwillow Cir, Anaheim Hills, CA 92808",https://www.apartments.com/sycamore-canyon-apartments-anaheim-hills-ca/jm9xqs4/,,"$1,735","$2,415",,,,,
Hensley at Corona Pointe Apartments,Corona,Apartment,CA,92881,"[{'bedroom_type': '1 Bed', 'price': '$1,565'}, {'bedroom_type': '2 Beds', 'price': '$1,700'}]","1171 E Baywood Dr, Corona, CA 92881",https://www.apartments.com/hensley-at-corona-pointe-apartments-corona-ca/h80fqb0/,,"$1,565","$1,700",,,,,
Seacrest Apartments,San Clemente,Apartment,CA,92672,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}, {'bedroom_type': '2 Beds', 'price': '$2,395'}]","240 Avenida Vista Montana, San Clemente, CA 92672",https://www.apartments.com/seacrest-apartments-san-clemente-ca/jxvf9e7/,,"$1,995","$2,395",,,,,
Avalon Mountain View,Mountain View,Apartment,CA,94041,"[{'bedroom_type': '1 Bed', 'price': '$2,913'}, {'bedroom_type': '2 Beds', 'price': '$3,283'}, {'bedroom_type': '3 Beds', 'price': '$4,133'}]","1600 Villa St, Mountain View, CA 94041",https://www.apartments.com/avalon-mountain-view-mountain-view-ca/9ew51f5/,,"$2,913","$3,283","$4,133",,,,
Verano at Rancho Cucamonga Town Square,Rancho Cucamonga,Apartment,CA,91730,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$1,686'}, {'bedroom_type': '2 Beds', 'price': '$1,987'}, {'bedroom_type': '3 Beds', 'price': '$2,297'}]","8200 Haven Ave, Rancho Cucamonga, CA 91730",https://www.apartments.com/verano-at-rancho-cucamonga-town-square-rancho-cucamonga-ca/gjejlfy/,,"$1,686","$1,987","$2,297",,,,
Sofi Ventura,Ventura,Apartment,CA,93003,"[{'bedroom_type': '1 Bed', 'price': '$1,859'}, {'bedroom_type': '2 Beds', 'price': '$2,286'}]","6250 Telegraph Rd, Ventura, CA 93003",https://www.apartments.com/sofi-ventura-ventura-ca/elpn0bq/,,"$1,859","$2,286",,,,,
Artessa,Riverside,Apartment,CA,92504,"[{'bedroom_type': '1 Bed', 'price': '$1,516'}, {'bedroom_type': '2 Beds', 'price': '$1,769'}]","7600 Ambergate Pl, Riverside, CA 92504",https://www.apartments.com/artessa-riverside-ca/52x029n/,,"$1,516","$1,769",,,,,
Barclay Square,San Diego,Apartment,CA,92117,"[{'bedroom_type': '1 Bed', 'price': '$1,690'}, {'bedroom_type': '2 Beds', 'price': '$1,865'}, {'bedroom_type': '3 Beds', 'price': '$2,550'}]","6363 Beadnell Way, San Diego, CA 92117",https://www.apartments.com/barclay-square-san-diego-ca/szlkpb7/,,"$1,690","$1,865","$2,550",,,,
Rosemeade at Olympus Pointe,Roseville,Apartment,CA,95661,"[{'bedroom_type': '1 Bed', 'price': '$1,625'}, {'bedroom_type': '2 Beds', 'price': '$1,805'}, {'bedroom_type': '3 Beds', 'price': '$2,320'}]","1451 Rocky Ridge Dr, Roseville, CA 95661",https://www.apartments.com/rosemeade-at-olympus-pointe-roseville-ca/ys2d0cs/,,"$1,625","$1,805","$2,320",,,,
MIRABELLA,Bermuda Dunes,Apartment,CA,92203,"[{'bedroom_type': '1 Bed', 'price': '$1,332'}, {'bedroom_type': '2 Beds', 'price': '$1,525'}]","40300 Washington St, Bermuda Dunes, CA 92203",https://www.apartments.com/mirabella-bermuda-dunes-ca/8yf5880/,,"$1,332","$1,525",,,,,
San Regis Apartments,Van Nuys,Apartment,CA,91406,"[{'bedroom_type': 'Studio', 'price': '$1,353'}, {'bedroom_type': '1 Bed', 'price': '$1,673'}, {'bedroom_type': '2 Beds', 'price': '$1,984'}]","15454 Sherman Way, Van Nuys, CA 91406",https://www.apartments.com/san-regis-apartments-van-nuys-ca/j6mfdj7/,"$1,353","$1,673","$1,984",,,,,
Fresco,Moreno Valley,Apartment,CA,92553,"[{'bedroom_type': '1 Bed', 'price': '$1,450'}, {'bedroom_type': '2 Beds', 'price': '$1,705'}, {'bedroom_type': '3 Beds', 'price': '$2,070'}]","12640 Memorial Way, Moreno Valley, CA 92553",https://www.apartments.com/fresco-moreno-valley-ca/dxr97ph/,,"$1,450","$1,705","$2,070",,,,
Bay Village,Vallejo,Apartment,CA,94590,"[{'bedroom_type': '1 Bed', 'price': '$1,760'}, {'bedroom_type': '2 Beds', 'price': '$1,850'}]","1107 Porter St, Vallejo, CA 94590",https://www.apartments.com/bay-village-vallejo-ca/mj77l4l/,,"$1,760","$1,850",,,,,
The Highlands at Grand Terrace,Grand Terrace,Apartment,CA,92313,"[{'bedroom_type': '1 Bed', 'price': '$1,445'}, {'bedroom_type': '2 Beds', 'price': '$1,480'}]","11750 Mount Vernon Ave, Grand Terrace, CA 92313",https://www.apartments.com/the-highlands-at-grand-terrace-grand-terrace-ca/gewbmyy/,,"$1,445","$1,480",,,,,
717 Olympic,Los Angeles,Apartment,CA,90015,"[{'bedroom_type': '1 Bed', 'price': '$2,789'}, {'bedroom_type': '2 Beds', 'price': '$4,150'}]","717 W Olympic Blvd, Los Angeles, CA 90015",https://www.apartments.com/717-olympic-los-angeles-ca/vzswhzg/,,"$2,789","$4,150",,,,,
Skyline,Spring Valley,Apartment,CA,91977,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,825'}, {'bedroom_type': '3 Beds', 'price': ''}]","8513 Paradise Valley Rd, Spring Valley, CA 91977",https://www.apartments.com/skyline-spring-valley-ca/cxldk3f/,,,"$1,825",,,,,
Serenity at Larkspur,Larkspur,Apartment,CA,94939,"[{'bedroom_type': '1 Bed', 'price': '$2,950'}, {'bedroom_type': '2 Beds', 'price': '$2,975'}]","700 Lincoln Village Cir, Larkspur, CA 94939",https://www.apartments.com/serenity-at-larkspur-larkspur-ca/55bw8qq/,,"$2,950","$2,975",,,,,
The Highlands,Rancho Santa Margarita,Apartment,CA,92679,"[{'bedroom_type': '1 Bed', 'price': '$1,895'}, {'bedroom_type': '2 Beds', 'price': '$2,195'}]","31872 Joshua Dr, Rancho Santa Margarita, CA 92679",https://www.apartments.com/the-highlands-rancho-santa-margarita-ca/kxle7g8/,,"$1,895","$2,195",,,,,
Spring Valley,Milpitas,Apartment,CA,95035,"[{'bedroom_type': '1 Bed', 'price': '$2,395'}, {'bedroom_type': '2 Beds', 'price': '$2,695'}, {'bedroom_type': '3 Beds', 'price': '$3,495'}]","133 N Temple Dr, Milpitas, CA 95035",https://www.apartments.com/spring-valley-milpitas-ca/js0mv85/,,"$2,395","$2,695","$3,495",,,,
100 Boyd,Pleasant Hill,Apartment,CA,94523,"[{'bedroom_type': '1 Bed', 'price': '$1,900'}]","100 Boyd Rd, Pleasant Hill, CA 94523",https://www.apartments.com/100-boyd-pleasant-hill-ca/l67lfpd/,,"$1,900",,,,,,
Sofi Union City,Union City,Apartment,CA,94587,"[{'bedroom_type': '1 Bed', 'price': '$2,147'}, {'bedroom_type': '2 Beds', 'price': '$2,467'}, {'bedroom_type': '3 Beds', 'price': '$3,110'}]","31770 Alvarado Blvd, Union City, CA 94587",https://www.apartments.com/sofi-union-city-union-city-ca/wpwbt6l/,,"$2,147","$2,467","$3,110",,,,
The Palmer Residences,San Juan Capistrano,Apartment,CA,92675,"[{'bedroom_type': '1 Bed', 'price': '$1,915'}, {'bedroom_type': '2 Beds', 'price': '$2,425'}]","26451 Camino de Vis, San Juan Capistrano, CA 92675",https://www.apartments.com/the-palmer-residences-san-juan-capistrano-ca/z730b8y/,,"$1,915","$2,425",,,,,
Wilbur Oaks Apartments,Thousand Oaks,Apartment,CA,91360,"[{'bedroom_type': '1 Bed', 'price': '$1,875'}]","450 E Wilbur Rd, Thousand Oaks, CA 91360",https://www.apartments.com/wilbur-oaks-apartments-thousand-oaks-ca/1v6bzv5/,,"$1,875",,,,,,
Diablo Vista,Livermore,Apartment,CA,94551,"[{'bedroom_type': '1 Bed', 'price': '$1,960'}, {'bedroom_type': '2 Beds', 'price': '$2,285'}]","1550 Springtown Blvd, Livermore, CA 94551",https://www.apartments.com/diablo-vista-livermore-ca/f05vkct/,,"$1,960","$2,285",,,,,
Northgate Savoy,Fremont,Apartment,CA,94555,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$1,900'}, {'bedroom_type': '2 Beds', 'price': ''}]","34077 Paseo Padre Pky, Fremont, CA 94555",https://www.apartments.com/northgate-savoy-fremont-ca/0ywbdz2/,,"$1,900",,,,,,
St. Charles Oaks Apartments,Thousand Oaks,Apartment,CA,91360,"[{'bedroom_type': '1 Bed', 'price': '$1,805'}, {'bedroom_type': '2 Beds', 'price': '$2,075'}, {'bedroom_type': '3 Beds', 'price': '$2,650'}]","800 St Charles Dr, Thousand Oaks, CA 91360",https://www.apartments.com/st-charles-oaks-apartments-thousand-oaks-ca/gzsvn2w/,,"$1,805","$2,075","$2,650",,,,
Selby Ranch Apartment Homes,Sacramento,Apartment,CA,95864,"[{'bedroom_type': '1 Bed', 'price': '$1,400'}, {'bedroom_type': '2 Beds', 'price': '$1,625'}, {'bedroom_type': '3 Beds', 'price': ''}]","258 Selby Ranch Rd, Sacramento, CA 95864",https://www.apartments.com/selby-ranch-apartment-homes-sacramento-ca/5xwrzeq/,,"$1,400","$1,625",,,,,
Vintage Apartments,Pleasanton,Apartment,CA,94566,"[{'bedroom_type': '1 Bed', 'price': '$2,595'}, {'bedroom_type': '2 Beds', 'price': '$2,775'}, {'bedroom_type': '3 Beds', 'price': '$3,750'}]","50 Vintage Cir, Pleasanton, CA 94566",https://www.apartments.com/vintage-apartments-pleasanton-ca/rlk3hz2/,,"$2,595","$2,775","$3,750",,,,
Surfside Villas,Huntington Beach,Apartment,CA,92648,"[{'bedroom_type': '2 Beds', 'price': '$3,200'}, {'bedroom_type': '3 Beds', 'price': '$3,600'}, {'bedroom_type': '4 Beds', 'price': '$4,000'}]","7795 Neptune Dr, Huntington Beach, CA 92648",https://www.apartments.com/surfside-villas-huntington-beach-ca/g8sphlx/,,,"$3,200","$3,600","$4,000",,,
Legends at Rancho Belago,Moreno Valley,Apartment,CA,92553,"[{'bedroom_type': '1 Bed', 'price': '$1,508'}, {'bedroom_type': '2 Beds', 'price': '$1,761'}]","13292 Lasselle St, Moreno Valley, CA 92553",https://www.apartments.com/legends-at-rancho-belago-moreno-valley-ca/8hyqyz3/,,"$1,508","$1,761",,,,,
Crown Point Apartments,West Covina,Apartment,CA,91792,"[{'bedroom_type': 'Studio', 'price': '$1,380'}, {'bedroom_type': '1 Bed', 'price': '$1,575'}, {'bedroom_type': '2 Beds', 'price': '$1,860'}]","1840 S Nelson St, West Covina, CA 91792",https://www.apartments.com/crown-point-apartments-west-covina-ca/mnq2mll/,"$1,380","$1,575","$1,860",,,,,
Heritage Point,Irvine,Apartment,CA,92604,"[{'bedroom_type': '1 Bed', 'price': '$1,705'}, {'bedroom_type': '2 Beds', 'price': '$1,983'}, {'bedroom_type': '3 Beds', 'price': '$2,930'}]","4 Austin, Irvine, CA 92604",https://www.apartments.com/heritage-point-irvine-ca/qprvgww/,,"$1,705","$1,983","$2,930",,,,
The Arbors,Livermore,Apartment,CA,94550,"[{'bedroom_type': '1 Bed', 'price': '$2,075'}, {'bedroom_type': '2 Beds', 'price': '$2,245'}]","3550 Pacific Ave, Livermore, CA 94550",https://www.apartments.com/the-arbors-livermore-ca/xpmb11p/,,"$2,075","$2,245",,,,,
Sunstone Place,Riverside,Apartment,CA,92505,"[{'bedroom_type': '1 Bed', 'price': '$1,430'}, {'bedroom_type': '2 Beds', 'price': ''}]","3845 Polk St, Riverside, CA 92505",https://www.apartments.com/sunstone-place-riverside-ca/n8btjrm/,,"$1,430",,,,,,
Missions at Chino Hills,Chino Hills,Apartment,CA,91709,"[{'bedroom_type': '1 Bed', 'price': '$2,333'}, {'bedroom_type': '2 Beds', 'price': '$2,196'}, {'bedroom_type': '3 Beds', 'price': '$2,553'}]","3100 Chino Hills Pky, Chino Hills, CA 91709",https://www.apartments.com/missions-at-chino-hills-chino-hills-ca/yl7eqpv/,,"$2,333","$2,196","$2,553",,,,
Ten Thousand,Los Angeles,Apartment,CA,90067,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$10,000'}, {'bedroom_type': '3 Beds', 'price': '$22,000'}, {'bedroom_type': '4 Beds', 'price': ''}]","10000 Santa Monica Blvd, Los Angeles, CA 90067",https://www.apartments.com/ten-thousand-los-angeles-ca/99nnsr7/,,,"$10,000","$22,000",,,,
South Pointe,Costa Mesa,Apartment,CA,92626,"[{'bedroom_type': '1 Bed', 'price': '$1,681'}, {'bedroom_type': '2 Beds', 'price': '$2,143'}, {'bedroom_type': '3 Beds', 'price': '$3,070'}]","655 Baker St, Costa Mesa, CA 92626",https://www.apartments.com/south-pointe-costa-mesa-ca/4f0j54j/,,"$1,681","$2,143","$3,070",,,,
The Exchange at Bayfront,Hercules,Apartment,CA,94547,"[{'bedroom_type': 'Studio', 'price': '$2,488'}, {'bedroom_type': '1 Bed', 'price': '$2,738'}, {'bedroom_type': '2 Beds', 'price': '$3,137'}, {'bedroom_type': '3 Beds', 'price': '$4,326'}]","2525 Bayfront Blvd, Hercules, CA 94547",https://www.apartments.com/the-exchange-at-bayfront-hercules-ca/pj6glht/,"$2,488","$2,738","$3,137","$4,326",,,,
Current,San Diego,Apartment,CA,92101,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$2,373'}, {'bedroom_type': '2 Beds', 'price': '$3,295'}]","1551 Union St, San Diego, CA 92101",https://www.apartments.com/current-san-diego-ca/wp5wx3l/,,"$2,373","$3,295",,,,,
Harbor Pointe,Dana Point,Apartment,CA,92629,"[{'bedroom_type': '1 Bed', 'price': '$2,216'}, {'bedroom_type': '2 Beds', 'price': '$2,734'}]","32762 Pointe Sutton P..., Dana Point, CA 92629",https://www.apartments.com/harbor-pointe-dana-point-ca/4f76ebl/,,"$2,216","$2,734",,,,,
Pointe Niguel,Laguna Niguel,Apartment,CA,92677,"[{'bedroom_type': '1 Bed', 'price': '$1,825'}, {'bedroom_type': '2 Beds', 'price': '$2,339'}]","29781 Niguel Rd, Laguna Niguel, CA 92677",https://www.apartments.com/pointe-niguel-laguna-niguel-ca/f57bnzt/,,"$1,825","$2,339",,,,,
Las Flores Apartment Homes,Rancho Santa Margarita,Apartment,CA,92688,"[{'bedroom_type': '1 Bed', 'price': '$1,785'}, {'bedroom_type': '2 Beds', 'price': '$2,200'}]","381 Sable, Rancho Santa Margarita, CA 92688",https://www.apartments.com/las-flores-apartment-homes-rancho-santa-margarita-ca/fb5d3cs/,,"$1,785","$2,200",,,,,
CasaLago Eastlake,Chula Vista,Apartment,CA,91915,"[{'bedroom_type': '1 Bed', 'price': '$2,085'}, {'bedroom_type': '2 Beds', 'price': '$2,545'}, {'bedroom_type': '3 Beds', 'price': '$2,775'}]","2816 Cielo Circulo, Chula Vista, CA 91915",https://www.apartments.com/casalago-eastlake-chula-vista-ca/ylpmnmr/,,"$2,085","$2,545","$2,775",,,,
Ladera Townhouse,Los Angeles,Apartment,CA,90056,"[{'bedroom_type': '1 Bed', 'price': '$1,698'}, {'bedroom_type': '2 Beds', 'price': '$1,845'}]","6233 S La Brea Ln, Los Angeles, CA 90056",https://www.apartments.com/ladera-townhouse-los-angeles-ca/5ep4zrq/,,"$1,698","$1,845",,,,,
Alicia Village,Laguna Hills,Apartment,CA,92653,"[{'bedroom_type': '1 Bed', 'price': '$1,634'}, {'bedroom_type': '2 Beds', 'price': '$1,960'}]","25211 Stockport St, Laguna Hills, CA 92653",https://www.apartments.com/alicia-village-laguna-hills-ca/qyvgstw/,,"$1,634","$1,960",,,,,
Beach & Ocean,Huntington Beach,Apartment,CA,92648,"[{'bedroom_type': 'Studio', 'price': '$1,901'}, {'bedroom_type': '1 Bed', 'price': '$2,107'}, {'bedroom_type': '2 Beds', 'price': '$2,769'}]","19891-19895 Beach Blvd, Huntington Beach, CA 92648",https://www.apartments.com/beach-ocean-huntington-beach-ca/we9d8bk/,"$1,901","$2,107","$2,769",,,,,
THE PRESERVE AT CREEKSIDE,Roseville,Apartment,CA,95678,"[{'bedroom_type': '1 Bed', 'price': '$1,560'}, {'bedroom_type': '2 Beds', 'price': '$1,800'}, {'bedroom_type': '3 Beds', 'price': '$1,995'}]","1299 Antelope Creek Dr, Roseville, CA 95678",https://www.apartments.com/the-preserve-at-creekside-roseville-ca/frn3p6s/,,"$1,560","$1,800","$1,995",,,,
Avalon Calabasas,Calabasas,Apartment,CA,91302,"[{'bedroom_type': '1 Bed', 'price': '$2,042'}, {'bedroom_type': '2 Beds', 'price': '$2,476'}]","3831 N Orchid Ln, Calabasas, CA 91302",https://www.apartments.com/avalon-calabasas-calabasas-ca/3rwr5kg/,,"$2,042","$2,476",,,,,
Palms Court,Los Angeles,Apartment,CA,90034,"[{'bedroom_type': '2 Beds', 'price': '$3,095'}, {'bedroom_type': '3 Beds', 'price': ''}]","10125 Palms Blvd, Los Angeles, CA 90034",https://www.apartments.com/palms-court-los-angeles-ca/mcjnykh/,,,"$3,095",,,,,
Carlsbad Coast,Carlsbad,Apartment,CA,92008,"[{'bedroom_type': 'Studio', 'price': '$1,898'}, {'bedroom_type': '1 Bed', 'price': '$2,068'}, {'bedroom_type': '2 Beds', 'price': '$2,248'}]","357 Chestnut Ave, Carlsbad, CA 92008",https://www.apartments.com/carlsbad-coast-carlsbad-ca/7xfc54y/,"$1,898","$2,068","$2,248",,,,,
Main Street Village,Irvine,Apartment,CA,92614,"[{'bedroom_type': '1 Bed', 'price': '$1,931'}, {'bedroom_type': '2 Beds', 'price': '$2,450'}, {'bedroom_type': '3 Beds', 'price': '$3,360'}]","2555 Main St, Irvine, CA 92614",https://www.apartments.com/main-street-village-irvine-ca/jl8gs35/,,"$1,931","$2,450","$3,360",,,,
Empire Landing,Burbank,Apartment,CA,91504,"[{'bedroom_type': '1 Bed', 'price': '$2,209'}, {'bedroom_type': '2 Beds', 'price': '$2,411'}, {'bedroom_type': '3 Beds', 'price': '$4,291'}, {'bedroom_type': '4 Beds', 'price': '$4,005'}]","1901 N Buena Vista St, Burbank, CA 91504",https://www.apartments.com/empire-landing-burbank-ca/g9zjb3x/,,"$2,209","$2,411","$4,291","$4,005",,,
Pheasant Ridge I,Rowland Heights,Apartment,CA,91748,"[{'bedroom_type': '1 Bed', 'price': '$1,615'}, {'bedroom_type': '2 Beds', 'price': '$1,883'}]","17800 E Colima Ave, Rowland Heights, CA 91748",https://www.apartments.com/pheasant-ridge-i-rowland-heights-ca/b795dec/,,"$1,615","$1,883",,,,,
Tralee Village,Dublin,Apartment,CA,94568,"[{'bedroom_type': '1 Bed', 'price': '$2,615'}, {'bedroom_type': '2 Beds', 'price': '$3,090'}, {'bedroom_type': '3 Beds', 'price': '$3,675'}]","6601 Dublin Blvd, Dublin, CA 94568",https://www.apartments.com/tralee-village-dublin-ca/ktegrr9/,,"$2,615","$3,090","$3,675",,,,
Mission Grove Park,Riverside,Apartment,CA,92508,"[{'bedroom_type': '1 Bed', 'price': '$1,790'}, {'bedroom_type': '2 Beds', 'price': '$1,675'}, {'bedroom_type': '3 Beds', 'price': ''}]","7450 Northrop Dr, Riverside, CA 92508",https://www.apartments.com/mission-grove-park-riverside-ca/tee7leb/,,"$1,790","$1,675",,,,,
Domain Apartments,San Diego,Apartment,CA,92123,"[{'bedroom_type': 'Studio', 'price': '$1,884'}, {'bedroom_type': '1 Bed', 'price': '$1,846'}, {'bedroom_type': '2 Beds', 'price': '$2,603'}]","8798 Spectrum Center Blvd, San Diego, CA 92123",https://www.apartments.com/domain-apartments-san-diego-ca/m2hvg0h/,"$1,884","$1,846","$2,603",,,,,
VERANDA LA MESA,La Mesa,Apartment,CA,91942,"[{'bedroom_type': 'Studio', 'price': '$1,543'}, {'bedroom_type': '1 Bed', 'price': '$1,642'}, {'bedroom_type': '2 Beds', 'price': '$1,950'}]","5401-5445 Baltimore Dr, La Mesa, CA 91942",https://www.apartments.com/veranda-la-mesa-la-mesa-ca/mxr1s1l/,"$1,543","$1,642","$1,950",,,,,
WINDSOR MANOR I,San Marcos,Apartment,CA,92069,"[{'bedroom_type': '1 Bed', 'price': '$1,550'}, {'bedroom_type': '2 Beds', 'price': '$1,900'}]","250 Knoll Rd, San Marcos, CA 92069",https://www.apartments.com/windsor-manor-i-san-marcos-ca/k7h7clb/,,"$1,550","$1,900",,,,,
Homecoming At Creekside,Sacramento,Apartment,CA,95835,"[{'bedroom_type': '1 Bed', 'price': '$1,756'}, {'bedroom_type': '2 Beds', 'price': '$2,272'}, {'bedroom_type': '3 Beds', 'price': '$2,554'}]","4800 Kokomo Dr, Sacramento, CA 95835",https://www.apartments.com/homecoming-at-creekside-sacramento-ca/kf9qhjc/,,"$1,756","$2,272","$2,554",,,,
The Angelica Rancho Cucamonga,Rancho Cucamonga,Apartment,CA,91739,"[{'bedroom_type': '1 Bed', 'price': '$1,920'}, {'bedroom_type': '2 Beds', 'price': '$2,265'}, {'bedroom_type': '3 Beds', 'price': ''}]","7828 Day Creek Blvd, Rancho Cucamonga, CA 91739",https://www.apartments.com/the-angelica-rancho-cucamonga-rancho-cucamonga-ca/mgwrn8h/,,"$1,920","$2,265",,,,,
Club Pacifica,Benicia,Apartment,CA,94510,"[{'bedroom_type': '1 Bed', 'price': '$1,630'}, {'bedroom_type': '2 Beds', 'price': '$2,010'}]","1300 Southampton Rd, Benicia, CA 94510",https://www.apartments.com/club-pacifica-benicia-ca/r2kd722/,,"$1,630","$2,010",,,,,
