Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
KELLER WILLIAMS REALTY IRVINE,"$770,000","11924 Gurley Ave, Downey, CA 90242",11924 Gurley Ave,Downey,CA,90242,4,3,"1,604","13,094 sqft",13094.0,SingleFamily,1947,"Driveway, Garage, Oversized",null,"$765,286","$3,000/mo",$480,https://www.zillow.com/homedetails/11924-Gurley-Ave-Downey-CA-90242/21052760_zpid/
,"$230,000","3862 E Norwich Ave, Fresno, CA 93726",3862 E Norwich Ave,Fresno,CA,93726,4,2,"1,306","6,599 sqft",6599.0,SingleFamily,1968,"Garage - Attached, ",null,"$239,068","$1,500/mo",$176,https://www.zillow.com/homedetails/3862-E-Norwich-Ave-Fresno-CA-93726/18721226_zpid/
KING REALTY GROUP INC,"$624,800","2444 E Norwich St, Ontario, CA 91761",2444 E Norwich St,Ontario,CA,91761,4,3,"2,241","5,501 sqft",5501.0,SingleFamily,2017,Garage - Attached,$90 monthly,"$607,274","$2,700/mo",$279,https://www.zillow.com/homedetails/2444-E-Norwich-St-Ontario-CA-91761/249534679_zpid/
REDFIN,"$449,900","4281 Tola Ct, Riverside, CA 92509",4281 Tola Ct,Riverside,CA,92509,4,2,"1,288","16,552 sqft",16552.0,SingleFamily,1972,Garage,null,"$450,108","$2,345/mo",$349,https://www.zillow.com/homedetails/4281-Tola-Ct-Riverside-CA-92509/17826712_zpid/
"HOMESMART, EVERGREEN REALTY","$849,000","22501 Auburn Dale Dr, Lake Forest, CA 92630",22501 Auburn Dale Dr,LakeForest,CA,92630,3,2,"1,329","7,701 sqft",7701.0,SingleFamily,1977,"Driveway Level, Garage",null,"$883,095","$3,000/mo",$639,https://www.zillow.com/homedetails/22501-Auburn-Dale-Dr-Lake-Forest-CA-92630/25527430_zpid/
EXP REALTY,"$580,000","2331 W Cedarwood St, West Covina, CA 91790",2331 W Cedarwood St,WestCovina,CA,91790,5,4,"1,105","7,596 sqft",7596.0,SingleFamily,1951,Garage,null,"$612,491","$2,500/mo",$525,https://www.zillow.com/homedetails/2331-W-Cedarwood-St-West-Covina-CA-91790/21561567_zpid/
"BARRIE CRAKE, BROKER","$639,000","12435 Senda Rd, San Diego, CA 92128",12435 Senda Rd,SanDiego,CA,92128,3,2,"1,402","7,100 sqft",7100.0,SingleFamily,1965,Garage,$400 annually,"$697,579","$2,645/mo",$456,https://www.zillow.com/homedetails/12435-Senda-Rd-San-Diego-CA-92128/16743412_zpid/
,"$419,000","4245 Aubergine Way, Mather, CA 95655",4245 Aubergine Way,Mather,CA,95655,3,2,"1,479","5,331 sqft",5331.0,SingleFamily,2001,"Garage - Attached, ",$91 monthly,"$441,346","$2,195/mo",$283,https://www.zillow.com/homedetails/4245-Aubergine-Way-Mather-CA-95655/51592560_zpid/
,"$425,000","7352 Verdugo Way, Sacramento, CA 95842",7352 Verdugo Way,Sacramento,CA,95842,4,2,"1,590","6,433 sqft",6433.0,SingleFamily,1979,"Garage - Attached, ",null,"$439,991","$2,175/mo",$267,https://www.zillow.com/homedetails/7352-Verdugo-Way-Sacramento-CA-95842/25997332_zpid/
"FIRST TEAM REAL ESTATE, TEM","$359,500","2958 Cypress St, Hemet, CA 92545",2958 Cypress St,Hemet,CA,92545,3,2,"1,856","6,969 sqft",6969.0,SingleFamily,1989,"Driveway, Garage, Garage - Two Door, Garage Door Opener",null,"$349,961","$1,995/mo",$194,https://www.zillow.com/homedetails/2958-Cypress-St-Hemet-CA-92545/52499108_zpid/
