Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
REALTY WORLD GOLDEN ERA,"$435,000","2013 E Bard Rd, Oxnard, CA 93033",2013 E Bard Rd,Oxnard,CA,93033,3,3,"1,289",null,null,Condo,1980,"Garage, Garage Door Opener, On Street",$300 monthly,"$439,596","$2,700/mo",$337,https://www.zillow.com/homedetails/2013-E-Bard-Rd-Oxnard-CA-93033/16408944_zpid/
"REALTY MASTERS & ASSOCIATES, I","$400,000","8276 Chappellet Pl, Rancho Cucamonga, CA 91730",8276 Chappellet Pl,RanchoCucamonga,CA,91730,2,3,984,null,null,Condo,1989,Garage - Attached,$275 monthly,"$412,350","$2,050/mo",$407,https://www.zillow.com/homedetails/8276-Chappellet-Pl-Rancho-Cucamonga-CA-91730/17295706_zpid/
"JACOB, CHRISTOPHER & LEE RLTY","$210,000","45452 Sunset Ln #7, Palm Desert, CA 92260",45452 Sunset Ln #7,PalmDesert,CA,92260,1,2,996,null,null,Condo,1961,Attached Carport,$290 monthly,"$210,002","$2,400/mo",$211,https://www.zillow.com/homedetails/45452-Sunset-Ln-7-Palm-Desert-CA-92260/17749105_zpid/
THE ASSOCIATES REALTY GROUP,"$412,000","12436 Bay Hill Ct #67, Garden Grove, CA 92843",12436 Bay Hill Ct #67,GardenGrove,CA,92843,2,2,900,null,null,Condo,1989,"Garage Door Opener, Gated, Parking Space, Permit Required",$395 monthly,"$421,944",null,$458,https://www.zillow.com/homedetails/12436-Bay-Hill-Ct-67-Garden-Grove-CA-92843/2071586568_zpid/
,"$1,599,888","846 Cotati Ter UNIT 1, Sunnyvale, CA 94085",846 Cotati Ter UNIT 1,Sunnyvale,CA,94085,4,4,"1,903",null,null,Condo,2019,Garage - Attached,$304 monthly,"$1,671,782",null,$841,https://www.zillow.com/homedetails/846-Cotati-Ter-UNIT-1-Sunnyvale-CA-94085/325805662_zpid/
COMPASS,"$290,000","8801 Willis Ave #59, Panorama City, CA 91402",8801 Willis Ave #59,PanoramaCity,CA,91402,2,1,798,null,null,Condo,1978,Detached Carport,$258 monthly,"$290,002","$2,100/mo",$363,https://www.zillow.com/homedetails/8801-Willis-Ave-59-Panorama-City-CA-91402/20135084_zpid/
"VYLLA HOME, INC.","$335,000","100 Atlantic Ave APT 402, Long Beach, CA 90802",100 Atlantic Ave APT 402,LongBeach,CA,90802,1,1,600,null,null,Condo,1958,No Data,$312 monthly,"$337,392","$1,700/mo",$558,https://www.zillow.com/homedetails/100-Atlantic-Ave-APT-402-Long-Beach-CA-90802/111373019_zpid/
,"$329,000","46 Stone St UNIT 16, Salinas, CA 93901",46 Stone St UNIT 16,Salinas,CA,93901,2,1,772,null,null,Condo,1980,0 spaces,$290 monthly,"$329,002","$2,150/mo",$426,https://www.zillow.com/homedetails/46-Stone-St-UNIT-16-Salinas-CA-93901/19312812_zpid/
,"$528,000","325 Kitty Hawk Rd UNIT 301, Alameda, CA 94501",325 Kitty Hawk Rd UNIT 301,Alameda,CA,94501,2,2,854,null,null,Condo,1964,Covered,$490 monthly,"$608,627","$2,600/mo",$618,https://www.zillow.com/homedetails/325-Kitty-Hawk-Rd-UNIT-301-Alameda-CA-94501/24868445_zpid/
,"$388,000","1121 40th St APT 5405, Emeryville, CA 94608",1121 40th St APT 5405,Emeryville,CA,94608,1,1,449,null,null,Condo,2006,"Parking Spaces, Secured, Space Per Unit - 1",$417 monthly,"$429,402","$2,000/mo",$864,https://www.zillow.com/homedetails/1121-40th-St-APT-5405-Emeryville-CA-94608/68030571_zpid/
