City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,3 Beds,4 Beds,1 Bed,4+ Beds,Studio,5 Beds
328 Shoemaker Ct,Townhomes,Solana Beach,CA,"[{'bedroom_type': '4 Beds', 'price': '$8,000'}]","328 Shoemaker Ct, Solana Beach, CA 92075",https://www.apartments.com/328-shoemaker-ct-solana-beach-ca/kgqw4jc/,2½ BAs,"1,675 Sq Ft","1,675",,Apr 1,,,"$8,000",,,,
1451 Summit Dr,Townhomes,Chula Vista,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,790'}]","1451 Summit Dr, Chula Vista, CA 91910",https://www.apartments.com/1451-summit-dr-chula-vista-ca/jcj0rp4/,2½ BAs,"1,507 Sq Ft","1,507",,Available Now,,"$2,790",,,,,
6112 Galante Pl,Townhomes,San Diego,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,700'}]","6112 Galante Pl, San Diego, CA 92130",https://www.apartments.com/6112-galante-pl-san-diego-ca/kb14x58/,2½ BAs,"1,563 Sq Ft","1,563",,Available Now,,,"$3,700",,,,
1443 Locust St,Townhomes,San Diego,CA,"[{'bedroom_type': '2 Beds', 'price': '$4,200'}]","1443 Locust St, San Diego, CA 92106",https://www.apartments.com/1443-locust-st-san-diego-ca/6r983ps/,2½ BAs,"1,650 Sq Ft","1,650",,Feb 5,"$4,200",,,,,,
309 Graves Ct,Townhomes,El Cajon,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,145'}]","309 Graves Ct, El Cajon, CA 92021",https://www.apartments.com/309-graves-ct-el-cajon-ca/ygysz9s/,1½ BAs,"1,136 Sq Ft","1,136",,Available Now,,"$2,145",,,,,
551 Palm Canyon Dr,Townhomes,Borrego Springs,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]","551 Palm Canyon Dr, Borrego Springs, CA 92004",https://www.apartments.com/551-palm-canyon-dr-borrego-springs-ca/5ykjx1n/,2½ BAs,"1,286 Sq Ft","1,286",,Available Now,"$2,600",,,,,,
6333 College Grove Way,Townhomes,San Diego,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","6333 College Grove Way, San Diego, CA 92115",https://www.apartments.com/6333-college-grove-way-san-diego-ca/0hc7xj3/,1½ BAs,"1,000 Sq Ft","1,000",,Available Now,"$2,200",,,,,,
9526 Easter Way,Townhomes,San Diego,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,850'}]","9526 Easter Way, San Diego, CA 92121",https://www.apartments.com/9526-easter-way-san-diego-ca/4s68j9j/,1½ BAs,"1,113 Sq Ft","1,113",,Available Now,,"$2,850",,,,,
4865 Juneberry Ct,Townhomes,San Diego,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,750'}]","4865 Juneberry Ct, San Diego, CA 92123",https://www.apartments.com/4865-juneberry-ct-san-diego-ca/3gzy1cd/,2½ BAs,"1,695 Sq Ft","1,695",,Available Now,"$2,750",,,,,,
164 N Shore Dr,Townhomes,Solana Beach,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,000'}]","164 N Shore Dr, Solana Beach, CA 92075",https://www.apartments.com/164-n-shore-dr-solana-beach-ca/wqpkmnl/,2½ BAs,"1,564 Sq Ft","1,564",,Available Now,,"$4,000",,,,,
3438 Via Alicante,Townhomes,San Diego,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","3438 Via Alicante, San Diego, CA 92037",https://www.apartments.com/3438-via-alicante-san-diego-ca/l77cnxd/,2½ BAs,"1,140 Sq Ft","1,140",,Jan 9,"$2,500",,,,,,
400 W Lincoln Ave,Townhomes,Escondido,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,950'}]","400 W Lincoln Ave, Escondido, CA 92026",https://www.apartments.com/400-w-lincoln-ave-escondido-ca/kvdwrb8/,2 BAs,"1,440 Sq Ft","1,440",,Available Now,,"$2,950",,,,,
1060 America Way,Townhomes,Del Mar,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,400'}]","1060 America Way, Del Mar, CA 92014",https://www.apartments.com/1060-america-way-del-mar-ca/l087czg/,2½ BAs,"1,700 Sq Ft","1,700",,Available Now,"$5,400",,,,,,
727 Seacoast Dr,Townhomes,Imperial Beach,CA,"[{'bedroom_type': '2 Beds', 'price': '$4,200'}]","727 Seacoast Dr, Imperial Beach, CA 91932",https://www.apartments.com/727-seacoast-dr-imperial-beach-ca/rpspen3/,1½ BAs,"1,232 Sq Ft","1,232",,Available Now,"$4,200",,,,,,
1157 Via Conejo,Townhomes,Escondido,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,950'}]","1157 Via Conejo, Escondido, CA 92029",https://www.apartments.com/1157-via-conejo-escondido-ca/62eyxvv/,1 BA,"1,200 Sq Ft","1,200",,Available Now,"$1,950",,,,,,
111 Sale Ln,Townhomes,Red Bluff,CA,"[{'bedroom_type': '1 Bed', 'price': '$880'}]","111 Sale Ln, Red Bluff, CA 96080",https://www.apartments.com/111-sale-ln-red-bluff-ca/n3e0vcp/,1 BA,,,12 Month Lease,Available Now,,,,$880,,,
11190 Mesquite Ave,Townhomes,Desert Hot Springs,CA,"[{'bedroom_type': '1 Bed', 'price': '$565'}]","11190 Mesquite Ave, Desert Hot Springs, CA 92240",https://www.apartments.com/11190-mesquite-ave-desert-hot-springs-ca/rcbpx32/,1 BA,,,12 Month Lease,Available Now,,,,$565,,,
3000 Augusta St,Townhomes,San Luis Obispo,CA,"[{'bedroom_type': '1 Bed', 'price': '$936'}]","3000 Augusta St, San Luis Obispo, CA 93401",https://www.apartments.com/3000-augusta-st-san-luis-obispo-ca/60yg6tv/,1 BA,,,12 Month Lease,Available Now,,,,$936,,,
2601 Nuestra Castillo Ct,Townhomes,San Jose,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,146'}]","2601 Nuestra Castillo Ct, San Jose, CA 95127",https://www.apartments.com/2601-nuestra-castillo-ct-san-jose-ca/v0n1zse/,1 BA,,,12 Month Lease,Available Now,,,,"$2,146",,,
110 Water St,Townhomes,McCloud,CA,"[{'bedroom_type': '1 Bed', 'price': '$734'}]","110 Water St, McCloud, CA 96057",https://www.apartments.com/110-water-st-mccloud-ca/1wkvgf6/,1 BA,,,12 Month Lease,Available Now,,,,$734,,,
9565 Flores Dr,Townhomes,San Joaquin,CA,"[{'bedroom_type': '1 Bed', 'price': '$864'}]","9565 Flores Dr, San Joaquin, CA 93660",https://www.apartments.com/9565-flores-dr-san-joaquin-ca/8qw8461/,1 BA,,,12 Month Lease,Available Now,,,,$864,,,
21424 S Marks Ave,Townhomes,Riverdale,CA,"[{'bedroom_type': '1 Bed', 'price': '$734'}]","21424 S Marks Ave, Riverdale, CA 93656",https://www.apartments.com/21424-s-marks-ave-riverdale-ca/0mc7db0/,1 BA,,,12 Month Lease,Available Now,,,,$734,,,
1391 E Sumner Ave,Townhomes,Fowler,CA,"[{'bedroom_type': '1 Bed', 'price': '$782'}]","1391 E Sumner Ave, Fowler, CA 93625",https://www.apartments.com/1391-e-sumner-ave-fowler-ca/73mtl6w/,1 BA,,,12 Month Lease,Available Now,,,,$782,,,
11059 State St,Townhomes,Columbia,CA,"[{'bedroom_type': '1 Bed', 'price': '$759'}]","11059 State St, Columbia, CA 95310",https://www.apartments.com/11059-state-st-columbia-ca/3ekq3yf/,1 BA,,,12 Month Lease,Available Now,,,,$759,,,
640 S Zediker Ave,Townhomes,Parlier,CA,"[{'bedroom_type': '1 Bed', 'price': '$755'}]","640 S Zediker Ave, Parlier, CA 93648",https://www.apartments.com/640-s-zediker-ave-parlier-ca/xce78gm/,1 BA,,,12 Month Lease,Available Now,,,,$755,,,
1639 Rockwood Ave,Townhomes,Calexico,CA,"[{'bedroom_type': '1 Bed', 'price': '$698'}]","1639 Rockwood Ave, Calexico, CA 92231",https://www.apartments.com/1639-rockwood-ave-calexico-ca/6816lbv/,1 BA,,,12 Month Lease,Available Now,,,,$698,,,
51950 Tyler St,Townhomes,Coachella,CA,"[{'bedroom_type': '1 Bed', 'price': '$954'}]","51950 Tyler St, Coachella, CA 92236",https://www.apartments.com/51950-tyler-st-coachella-ca/hqzh4d1/,1 BA,,,12 Month Lease,Available Now,,,,$954,,,
91 Ave 66,Townhomes,Other,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,062'}]","91 Ave 66, Other, CA 92274",https://www.apartments.com/91-ave-66-other-ca/2t92jsb/,1 BA,,,12 Month Lease,Available Now,,,,"$1,062",,,
1799 State Hwy 20,Townhomes,Colusa,CA,"[{'bedroom_type': '1 Bed', 'price': '$890'}]","1799 State Hwy 20, Colusa, CA 95932",https://www.apartments.com/1799-state-hwy-20-colusa-ca/3cbq5fd/,1 BA,,,12 Month Lease,Available Now,,,,$890,,,
2026 Barbara St,Townhomes,Selma,CA,"[{'bedroom_type': '1 Bed', 'price': '$854'}]","2026 Barbara St, Selma, CA 93662",https://www.apartments.com/2026-barbara-st-selma-ca/kvgkheb/,1 BA,,,12 Month Lease,Available Now,,,,$854,,,
61451 Verbena Rd,Townhomes,Joshua Tree,CA,"[{'bedroom_type': '1 Bed', 'price': '$829'}]","61451 Verbena Rd, Joshua Tree, CA 92252",https://www.apartments.com/61451-verbena-rd-joshua-tree-ca/pcgphft/,1 BA,,,12 Month Lease,Available Now,,,,$829,,,
2600 Red Bud Ln,Townhomes,Anderson,CA,"[{'bedroom_type': '1 Bed', 'price': '$719'}]","2600 Red Bud Ln, Anderson, CA 96007",https://www.apartments.com/2600-red-bud-ln-anderson-ca/3qysw7g/,1 BA,,,12 Month Lease,Available Now,,,,$719,,,
2425 Shady Ln,Townhomes,Anderson,CA,"[{'bedroom_type': '1 Bed', 'price': '$764'}]","2425 Shady Ln, Anderson, CA 96007",https://www.apartments.com/2425-shady-ln-anderson-ca/1ytvey7/,1 BA,,,12 Month Lease,Available Now,,,,$764,,,
1565 Fair Oaks Dr,Townhomes,Anderson,CA,"[{'bedroom_type': '1 Bed', 'price': '$707'}]","1565 Fair Oaks Dr, Anderson, CA 96007",https://www.apartments.com/1565-fair-oaks-dr-anderson-ca/sys3em7/,1 BA,,,12 Month Lease,Available Now,,,,$707,,,
1423 Reasor Rd,Townhomes,McKinleyville,CA,"[{'bedroom_type': '1 Bed', 'price': '$718'}]","1423 Reasor Rd, McKinleyville, CA 95519",https://www.apartments.com/1423-reasor-rd-mckinleyville-ca/q5meyry/,1 BA,,,12 Month Lease,Available Now,,,,$718,,,
550 S Broadway,Townhomes,Blythe,CA,"[{'bedroom_type': '1 Bed', 'price': '$645'}]","550 S Broadway, Blythe, CA 92225",https://www.apartments.com/550-s-broadway-blythe-ca/6en6pkr/,1 BA,,,12 Month Lease,Available Now,,,,$645,,,
73747 Raymond Way,Townhomes,Twentynine Palms,CA,"[{'bedroom_type': '1 Bed', 'price': '$653'}]","73747 Raymond Way, Twentynine Palms, CA 92277",https://www.apartments.com/73747-raymond-way-twentynine-palms-ca/pgzpmfs/,1 BA,,,12 Month Lease,Available Now,,,,$653,,,
333 E St,Townhomes,Eureka,CA,"[{'bedroom_type': '1 Bed', 'price': '$718'}]","333 E St, Eureka, CA 95501",https://www.apartments.com/333-e-st-eureka-ca/2s52kjc/,1 BA,,,12 Month Lease,Available Now,,,,$718,,,
1600 Greencastle Ave,Townhomes,Rowland Heights,CA,"[{'bedroom_type': '4 Beds', 'price': '$2,500'}]","1600 Greencastle Ave, Rowland Heights, CA 91748",https://www.apartments.com/1600-greencastle-ave-rowland-heights-ca/2bsjkxc/,2 BAs,"1,399 Sq Ft","1,399",12 Month Lease,Available Now,,,"$2,500",,,,
8616 Arminda Cir,Townhomes,Santee,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,300'}]","8616 Arminda Cir, Santee, CA 92071",https://www.apartments.com/8616-arminda-cir-santee-ca/9x7k6n7/,2 BAs,958 Sq Ft,958,,Mar 1,"$2,300",,,,,,
Hayward,Townhomes,CA,94541,"[{'bedroom_type': '2 Beds', 'price': '$2,10'}]","1555 D St, Hayward, CA 94541",https://www.apartments.com/1555-d-st-hayward-ca/v76083g/,1 BA,700 Sq Ft,700,1 Month Lease,Available Now,"$2,10",,,,,,
2803 Minta Ln,Townhomes,Antioch,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,850'}]","2803 Minta Ln, Antioch, CA 94509",https://www.apartments.com/2803-minta-ln-antioch-ca/q0p9x9y/,1 BA,700 Sq Ft,700,,Available Now,"$1,850",,,,,,
30 Goldenridge Ct,Townhomes,San Mateo,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,350'}]","30 Goldenridge Ct, San Mateo, CA 94402",https://www.apartments.com/30-goldenridge-ct-san-mateo-ca/wl0332h/,2½ BAs,"1,770 Sq Ft","1,770",,Available Now,,"$4,350",,,,,
140 W Main Ave,Townhomes,Morgan Hill,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,250'}]","140 W Main Ave, Morgan Hill, CA 95037",https://www.apartments.com/140-w-main-ave-morgan-hill-ca/8tj9pk1/,2 BAs,"1,350 Sq Ft","1,350",,Available Now,,"$3,250",,,,,
1640 Cutter Ct,Townhomes,San Ramon,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,250'}]","1640 Cutter Ct, San Ramon, CA 94583",https://www.apartments.com/1640-cutter-ct-san-ramon-ca/x4rfdgq/,2½ BAs,"1,656 Sq Ft","1,656",,Available Now,,"$3,250",,,,,
43510 Bryant St,Townhomes,Fremont,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,500'}]","43510 Bryant St, Fremont, CA 94539",https://www.apartments.com/43510-bryant-st-fremont-ca/6fsdv7v/,1½ BAs,"1,200 Sq Ft","1,200",,Available Now,"$2,500",,,,,,
2112 Lemontree Way,Townhomes,Antioch,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,000'}]","2112 Lemontree Way, Antioch, CA 94509",https://www.apartments.com/2112-lemontree-way-antioch-ca/ngjxlmm/,1 BA,925 Sq Ft,925,,Available Now,"$2,000",,,,,,
123 Miramonte Dr,Townhomes,Moraga,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,795'}]","123 Miramonte Dr, Moraga, CA 94556",https://www.apartments.com/123-miramonte-dr-moraga-ca/0xrwlc2/,2 BAs,"1,134 Sq Ft","1,134",,Available Now,"$2,795",,,,,,
950 Boranda Ave,Townhomes,Mountain View,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]","950 Boranda Ave, Mountain View, CA 94040",https://www.apartments.com/950-boranda-ave-mountain-view-ca/9fl2n47/,2½ BAs,"1,500 Sq Ft","1,500",,Available Now,,"$3,500",,,,,
8086 Ensenada Dr,Townhomes,Pleasanton,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,050'}]","8086 Ensenada Dr, Pleasanton, CA 94588",https://www.apartments.com/8086-ensenada-dr-pleasanton-ca/jt817g6/,1 BA,898 Sq Ft,898,,Available Now,"$2,050",,,,,,
505 Ridgeview Ct,Townhomes,Pleasant Hill,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,700'}]","505 Ridgeview Ct, Pleasant Hill, CA 94523",https://www.apartments.com/505-ridgeview-ct-pleasant-hill-ca/nwsg8qm/,3 BAs,"1,360 Sq Ft","1,360",,Available Now,"$2,700",,,,,,
947 Shoreline Dr,Townhomes,San Mateo,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,900'}]","947 Shoreline Dr, San Mateo, CA 94404",https://www.apartments.com/947-shoreline-dr-san-mateo-ca/js9sn76/,2½ BAs,"1,555 Sq Ft","1,555",,Available Now,"$3,900",,,,,,
2650 Birch St,Townhomes,Palo Alto,CA,"[{'bedroom_type': '3 Beds', 'price': '$6,000'}]","2650 Birch St, Palo Alto, CA 94306",https://www.apartments.com/2650-birch-st-palo-alto-ca/fvmzlvt/,2½ BAs,"1,888 Sq Ft","1,888",,Available Now,,"$6,000",,,,,
1724 Catalina Ct,Townhomes,Livermore,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]","1724 Catalina Ct, Livermore, CA 94550",https://www.apartments.com/1724-catalina-ct-livermore-ca/e7pbthq/,2½ BAs,"1,591 Sq Ft","1,591",,Available Now,,"$3,200",,,,,
468 E 28th Ave,Townhomes,San Mateo,CA,"[{'bedroom_type': '4 Beds', 'price': '$6,495'}]","468 E 28th Ave, San Mateo, CA 94403",https://www.apartments.com/468-e-28th-ave-san-mateo-ca/q8tkbnw/,4 BAs,"1,920 Sq Ft","1,920",,Available Now,,,"$6,495",,,,
1417 Bel Air Dr,Townhomes,Concord,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]","1417 Bel Air Dr, Concord, CA 94521",https://www.apartments.com/1417-bel-air-dr-concord-ca/qbjdfwz/,1½ BAs,"1,122 Sq Ft","1,122",,Available Now,"$2,400",,,,,,
3719 Brockton Dr,Townhomes,Pleasanton,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,150'}]","3719 Brockton Dr, Pleasanton, CA 94588",https://www.apartments.com/3719-brockton-dr-pleasanton-ca/0dmph62/,2½ BAs,"1,541 Sq Ft","1,541",,Jan 16,,,"$3,150",,,,
4063 Dobbins Loop,Townhomes,Dublin,CA,"[{'bedroom_type': '4 Beds', 'price': '$3,800'}]","4063 Dobbins Loop, Dublin, CA 94568",https://www.apartments.com/4063-dobbins-loop-dublin-ca/dpjd2cl/,3½ BAs,"2,123 Sq Ft","2,123",,Jan 5,,,"$3,800",,,,
155 California Ave,Townhomes,Palo Alto,CA,"[{'bedroom_type': '2 Beds', 'price': '$4,200'}]","155 California Ave, Palo Alto, CA 94306",https://www.apartments.com/155-california-ave-palo-alto-ca/hwqq5e2/,2½ BAs,"1,311 Sq Ft","1,311",,Available Now,"$4,200",,,,,,
674 Lanfair Dr,Townhomes,San Jose,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,100'}]","674 Lanfair Dr, San Jose, CA 95136",https://www.apartments.com/674-lanfair-dr-san-jose-ca/2dkpsh8/,1 BA,648 Sq Ft,648,,Available Now,,,,"$2,100",,,
14609 Oak St,Townhomes,Saratoga,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,195'}]","14609 Oak St, Saratoga, CA 95070",https://www.apartments.com/14609-oak-st-saratoga-ca/zmd49qx/,2½ BAs,"1,556 Sq Ft","1,556",,Available Now,,"$4,195",,,,,
145 Shadowhill Cir,Townhomes,San Ramon,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,700'}]","145 Shadowhill Cir, San Ramon, CA 94583",https://www.apartments.com/145-shadowhill-cir-san-ramon-ca/czge14d/,2½ BAs,"1,812 Sq Ft","1,812",,Feb 1,,"$3,700",,,,,
7235 Vía Vico,Townhomes,San Jose,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,550'}]","7235 Vía Vico, San Jose, CA 95129",https://www.apartments.com/7235-via-vico-san-jose-ca/sxplqn6/,1½ BAs,"1,024 Sq Ft","1,024",,Available Now,"$2,550",,,,,,
4720 Norris Canyon Rd,Townhomes,San Ramon,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,455'}]","4720 Norris Canyon Rd, San Ramon, CA 94583",https://www.apartments.com/4720-norris-canyon-rd-san-ramon-ca/c3s7n9g/,2 BAs,951 Sq Ft,951,,Available Now,"$2,455",,,,,,
6580 S Mariposa Ct,Townhomes,Dublin,CA,"[{'bedroom_type': '4 Beds', 'price': '$4,000'}]","6580 S Mariposa Ct, Dublin, CA 94568",https://www.apartments.com/6580-s-mariposa-ct-dublin-ca/q469s9x/,4 BAs,"2,002 Sq Ft","2,002",,Available Now,,,"$4,000",,,,
2 Rinconada Cir,Townhomes,Belmont,CA,"[{'bedroom_type': '3 Beds', 'price': '$5,500'}]","2 Rinconada Cir, Belmont, CA 94002",https://www.apartments.com/2-rinconada-cir-belmont-ca/fsjz66v/,2½ BAs,"2,140 Sq Ft","2,140",,Available Now,,"$5,500",,,,,
529 Driscoll Pl,Townhomes,Palo Alto,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,650'}]","529 Driscoll Pl, Palo Alto, CA 94306",https://www.apartments.com/529-driscoll-pl-palo-alto-ca/56zb3fp/,2½ BAs,"1,781 Sq Ft","1,781",,Available Now,,"$4,650",,,,,
6563 S Mariposa Ct,Townhomes,Dublin,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,500'}]","6563 S Mariposa Ct, Dublin, CA 94568",https://www.apartments.com/6563-s-mariposa-ct-dublin-ca/pqdv2xt/,2½ BAs,"1,817 Sq Ft","1,817",,Available Now,,"$3,500",,,,,
16129 Loretta Ln,Townhomes,Los Gatos,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,095'}]","16129 Loretta Ln, Los Gatos, CA 95032",https://www.apartments.com/16129-loretta-ln-los-gatos-ca/r8shtc2/,2½ BAs,"1,400 Sq Ft","1,400",,Available Now,,"$3,095",,,,,
7628 MacArthur Blvd,Townhomes,Oakland,CA,"[{'bedroom_type': '3 Beds', 'price': '$2,500'}]","7628 MacArthur Blvd, Oakland, CA 94605",https://www.apartments.com/7628-macarthur-blvd-oakland-ca/53zsn9p/,2 BAs,"1,000 Sq Ft","1,000",,Available Now,,"$2,500",,,,,
138 Lemmon Terrace,Townhomes,Sunnyvale,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,398'}]","138 Lemmon Terrace, Sunnyvale, CA 94086",https://www.apartments.com/138-lemmon-terrace-sunnyvale-ca/zegtgcz/,3½ BAs,"1,700 Sq Ft","1,700",,Available Now,,"$4,398",,,,,
5105 Panama Ave,Townhomes,Richmond,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,450'}]","5105 Panama Ave, Richmond, CA 94804",https://www.apartments.com/5105-panama-ave-richmond-ca/97g94c6/,1 BA,518 Sq Ft,518,,Available Now,,,,"$1,450",,,
1897 Lynwood Dr,Townhomes,Concord,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,375'}]","1897 Lynwood Dr, Concord, CA 94519",https://www.apartments.com/1897-lynwood-dr-concord-ca/zqjpykz/,1 BA,896 Sq Ft,896,,Available Now,"$2,375",,,,,,
4164 Redstone Terrace,Townhomes,Fremont,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,350'}]","4164 Redstone Terrace, Fremont, CA 94555",https://www.apartments.com/4164-redstone-terrace-fremont-ca/mxk2jjk/,1½ BAs,988 Sq Ft,988,,Available Now,"$2,350",,,,,,
1068 Summerplace Dr,Townhomes,San Jose,CA,"[{'bedroom_type': '1 Bed', 'price': '$2,150'}]","1068 Summerplace Dr, San Jose, CA 95122",https://www.apartments.com/1068-summerplace-dr-san-jose-ca/53dxfrq/,1½ BAs,"1,004 Sq Ft","1,004",,Available Now,,,,"$2,150",,,
1971 Almond Ave,Townhomes,Walnut Creek,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,300'}]","1971 Almond Ave, Walnut Creek, CA 94596",https://www.apartments.com/1971-almond-ave-walnut-creek-ca/9g12386/,2 BAs,"1,200 Sq Ft","1,200",,Available Now,,"$3,300",,,,,
1830 Holland Dr,Townhomes,Walnut Creek,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,950'}]","1830 Holland Dr, Walnut Creek, CA 94597",https://www.apartments.com/1830-holland-dr-walnut-creek-ca/1j230z5/,2 BAs,"1,263 Sq Ft","1,263",,Available Now,"$2,950",,,,,,
1085 Orchard Rd,Townhomes,Lafayette,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,200'}]","1085 Orchard Rd, Lafayette, CA 94549",https://www.apartments.com/1085-orchard-rd-lafayette-ca/hkc82n0/,1 BA,900 Sq Ft,900,,Available Now,"$2,200",,,,,,
21 Weller Ct,Townhomes,Pleasant Hill,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,695'}]","21 Weller Ct, Pleasant Hill, CA 94523",https://www.apartments.com/21-weller-ct-pleasant-hill-ca/1vrzfg7/,2 BAs,"1,100 Sq Ft","1,100",,Available Now,"$2,695",,,,,,
1756 Kudu Ct,Townhomes,Hayward,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]","1756 Kudu Ct, Hayward, CA 94541",https://www.apartments.com/1756-kudu-ct-hayward-ca/4nvxsgk/,1½ BAs,"1,054 Sq Ft","1,054",,Available Now,"$2,600",,,,,,
78 Marylinn Dr,Townhomes,Milpitas,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,795'}]","78 Marylinn Dr, Milpitas, CA 95035",https://www.apartments.com/78-marylinn-dr-milpitas-ca/wvbnnnk/,2½ BAs,"1,378 Sq Ft","1,378",,Available Now,"$2,795",,,,,,
3572 Gum Tree Dr,Townhomes,San Jose,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,000'}]","3572 Gum Tree Dr, San Jose, CA 95111",https://www.apartments.com/3572-gum-tree-dr-san-jose-ca/490jd0k/,1½ BAs,"1,157 Sq Ft","1,157",,Available Now,,"$3,000",,,,,
155 Rancho Manor Ct,Townhomes,San Jose,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,800'}]","155 Rancho Manor Ct, San Jose, CA 95111",https://www.apartments.com/155-rancho-manor-ct-san-jose-ca/cn1nrre/,2½ BAs,"1,034 Sq Ft","1,034",,Available Now,"$2,800",,,,,,
6300 Joaquin Murieta Ave,Townhomes,Newark,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,595'}]","6300 Joaquin Murieta Ave, Newark, CA 94560",https://www.apartments.com/6300-joaquin-murieta-ave-newark-ca/1nwl2c7/,1½ BAs,"1,112 Sq Ft","1,112",,Available Now,"$2,595",,,,,,
37824 Bright Common,Townhomes,Fremont,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,150'}]","37824 Bright Common, Fremont, CA 94536",https://www.apartments.com/37824-bright-common-fremont-ca/7w9n65z/,2½ BAs,"1,513 Sq Ft","1,513",,Available Now,"$3,150",,,,,,
434 Tampico,Townhomes,Walnut Creek,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,700'}]","434 Tampico, Walnut Creek, CA 94598",https://www.apartments.com/434-tampico-walnut-creek-ca/rkww7v1/,2 BAs,"1,424 Sq Ft","1,424",,Available Now,,"$3,700",,,,,
102 Hamlin Loop,Townhomes,Walnut Creek,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}]","102 Hamlin Loop, Walnut Creek, CA 94598",https://www.apartments.com/102-hamlin-loop-walnut-creek-ca/1x0z8z5/,1 BA,857 Sq Ft,857,,Available Now,"$2,600",,,,,,
4040 Handel Common,Townhomes,Fremont,CA,"[{'bedroom_type': '3 Beds', 'price': '$3,200'}]","4040 Handel Common, Fremont, CA 94536",https://www.apartments.com/4040-handel-common-fremont-ca/xvvj57q/,2½ BAs,"1,357 Sq Ft","1,357",,Available Now,,"$3,200",,,,,
988 Alpine Terrace,Townhomes,Sunnyvale,CA,"[{'bedroom_type': '3 Beds', 'price': '$4,300'}]","988 Alpine Terrace, Sunnyvale, CA 94086",https://www.apartments.com/988-alpine-terrace-sunnyvale-ca/vffys0g/,3½ BAs,"1,782 Sq Ft","1,782",,Available Now,,"$4,300",,,,,
436 Laurel St,Townhomes,San Carlos,CA,"[{'bedroom_type': '2 Beds', 'price': '$4,595'}]","436 Laurel St, San Carlos, CA 94070",https://www.apartments.com/436-laurel-st-san-carlos-ca/p0yscms/,2½ BAs,"1,401 Sq Ft","1,401",,Available Now,"$4,595",,,,,,
1313 Hoover St,Townhomes,Menlo Park,CA,"[{'bedroom_type': '2 Beds', 'price': '$5,000'}]","1313 Hoover St, Menlo Park, CA 94025",https://www.apartments.com/1313-hoover-st-menlo-park-ca/lvfcypg/,2½ BAs,"1,655 Sq Ft","1,655",,Available Now,"$5,000",,,,,,
